signal_class,pattern,priority,notes
no_trace,^$,0,"Reserved: assigned by the builder when a model emitted no parseable trace; never matched by pattern."
rc_flag,\b(regime[ -]?change|rc (flag|level|assessment|signal)|hs (rc|regime)|horizon scanner (flag|rc))\b,100,"The HS regime-change flag itself, cited as a signal."
base_rate_reference,\b(base[ -]?rate|historical (average|mean|record|pattern)|climatolog|long[ -]?run (average|mean)|reference class|prior (spd|distribution)|seasonal (norm|average|profile))\b,90,"Explicit reference to the base rate or the reference class."
data_gap,\b(no (data|reporting|information|coverage)|data (gap|unavailable|missing|sparse|absent)|unreported|not (reported|available)|reporting gap|coverage gap|stale (data|figures?)|outdated)\b,85,"The model says it lacked information."
prediction_market,\b(prediction market|metaculus|polymarket|manifold|market (odds|price|probabilit))\b,80,"Prediction market signals."
food_security_phase,\b(ipc|phase ?[1-5]|phase 3\+|famine|food (insecurity|security|crisis)|fews ?net|cadre harmonis[eé]|acute malnutrition|hunger)\b,75,"IPC/FEWS NET phase classification and food security."
epidemic,\b(cholera|measles|ebola|mpox|dengue|malaria|outbreak|epidemic|pandemic|disease)\b,72,"Disease outbreaks."
hydrological_observation,\b(river (level|flow|gauge)|dam (release|breach|level)|water level|reservoir|flooding (observed|reported|ongoing)|flash flood|riverine|inundat|lake level|discharge)\b,70,"Observed hydrology: river levels, dam releases, current flooding."
meteorological_forecast,\b(forecast(ed|s)? (rain|precip|storm|cyclone|typhoon|hurricane)|(nmme|gfs|ecmwf|cpc) |seasonal (forecast|outlook)|(above|below)[ -]normal (rain|precip|temperat)|(tropical )?(cyclone|typhoon|hurricane) (season|outlook|track|forecast)|storm track|monsoon (forecast|outlook|onset)|precipitation (anomal|forecast|outlook))\b,68,"Weather and seasonal forecast products (NMME, cyclone outlooks, monsoon)."
seasonal_climate,\b(el ni[ñn]o|la ni[ñn]a|enso|iod|indian ocean dipole|(rainy|dry|wet|lean|monsoon|cyclone|hurricane|typhoon) season|seasonal(ity)?|planting season|harvest)\b,60,"Seasonality and climate mode state (ENSO/IOD, the season itself)."
displacement,\b(displac|idp|refugee|returnee|flee|fled|exodus|internally displaced|new arrivals|influx)\b,65,"Population displacement and refugee movements."
humanitarian_access,\b(access (constraint|restriction|denied|blocked|impediment)|humanitarian access|aid (blocked|denied|suspended|convoy)|bureaucratic impediment|road closure|blockade|siege|checkpoint)\b,66,"Humanitarian access constraints."
funding_shortfall,\b(funding (gap|shortfall|cut|shortage)|underfund|pipeline break|ration cut|budget cut|donor (fatigue|cut)|appeal (only )?\d+% funded|wfp (cut|suspend))\b,64,"Aid funding shortfalls and ration cuts."
political_transition,\b(election|coup|transition(al)? government|referendum|inaugurat|cabinet (reshuffle|change)|new (president|prime minister|government)|constitutional|impeach|succession|power (transfer|sharing))\b,62,"Political transitions, elections, coups."
economic_shock,\b(inflation|currency (collapse|depreciat|devaluat)|exchange rate|food price|price (spike|surge|shock)|economic (crisis|collapse|shock)|unemployment|fuel (price|shortage)|sanction|debt (default|distress)|remittance)\b,58,"Macroeconomic shocks and price movements."
conflict_deescalation,\b(ceasefire|peace (deal|agreement|talks|process|accord)|truce|de-?escalat|demobili[sz]|disarm|withdrawal of (troops|forces)|cessation of hostilities|negotiat|reduced (fighting|violence|clashes)|declin(e|ing) in (violence|fatalities|clashes))\b,57,"De-escalation signals: ceasefires, peace talks, falling violence."
conflict_escalation,\b(escalat|offensive|airstrike|air strike|drone strike|shelling|clashes|fighting|armed (group|clash|conflict)|insurgen|militia|battle|attack|violence|fatalit|killing|massacre|mobili[sz]ation|troop|incursion|rebel|jihadist|al[ -]shabaab|boko haram|isis|isil|rsf|saf|m23)\b,55,"Escalation signals: offensives, strikes, rising violence and fatalities."
media_report_unspecified,\b(reports? (indicate|suggest|of)|according to (media|press|news)|news (report|coverage)|reuters|al jazeera|bbc|ocha (report|update|sitrep)|situation report|sitrep|reliefweb|acaps|crisiswatch|hdx signal)\b,30,"A report cited without a specific mechanism."
other,,1,"Fallback when no pattern matches."
